'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TROUGHTON ISLAND Western Australia for June 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 28 June 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TROUGHTON ISLAND,01/06/2023,6.0,0.0, ,28.7,21.4,72,31,5.27,19.91
TROUGHTON ISLAND,02/06/2023,4.8,0.0, ,29.9,21.1,76,27,2.74,19.78
TROUGHTON ISLAND,03/06/2023,4.6,0.0, ,30.2,23.4,96,36,3.00,19.68
TROUGHTON ISLAND,04/06/2023,3.7,0.0, ,28.1,24.0,100,72,3.62,19.87
TROUGHTON ISLAND,05/06/2023,3.8,0.0, ,28.2,23.6,100,70,3.48,19.87
TROUGHTON ISLAND,06/06/2023,3.6,0.0, ,28.2,23.1,100,72,2.38,19.84
TROUGHTON ISLAND,07/06/2023,3.8,0.0, ,29.4,23.1,100,67,2.45,19.81
TROUGHTON ISLAND,08/06/2023,4.4,0.0, ,29.9,24.2,97,52,3.57,19.25
TROUGHTON ISLAND,09/06/2023,4.7,0.0, ,31.1,24.6,99,53,4.48,19.73
TROUGHTON ISLAND,10/06/2023,3.9,0.0, ,29.4,24.5,100,66,3.29,19.34
TROUGHTON ISLAND,11/06/2023,4.2,0.0, ,29.7,24.1,100,55,3.42,19.57
TROUGHTON ISLAND,12/06/2023,4.7,0.0, ,31.0,23.5,98,37,3.20,19.66
TROUGHTON ISLAND,13/06/2023,4.7,0.0, ,30.0,23.5,87,52,3.89,19.59
TROUGHTON ISLAND,14/06/2023,4.8,0.0, ,29.7,23.3,99,42,4.31,19.64
TROUGHTON ISLAND,15/06/2023,4.9,0.0, ,30.1,23.2,93,42,4.33,19.30
TROUGHTON ISLAND,16/06/2023,5.5,0.0, ,29.9,22.9,85,40,5.09,19.59
TROUGHTON ISLAND,17/06/2023,5.6,0.0, ,30.4,22.2,87,33,4.86,19.59
TROUGHTON ISLAND,18/06/2023,6.3,0.0, ,29.4,23.0,80,35,6.70,19.39
TROUGHTON ISLAND,19/06/2023,5.6,0.0, ,29.2,21.7,82,28,4.69,19.55
TROUGHTON ISLAND,20/06/2023,4.9,0.0, ,29.4,23.2,84,54,5.08,19.57
TROUGHTON ISLAND,21/06/2023,3.7,0.0, ,29.2,22.4,98,59,2.13,18.79
TROUGHTON ISLAND,22/06/2023,3.5,0.0, ,28.3,22.8,100,68,2.21,18.68
TROUGHTON ISLAND,23/06/2023,3.9,0.0, ,29.5,23.1,99,52,2.28,19.50
TROUGHTON ISLAND,24/06/2023,4.2,0.0, ,30.2,23.7,95,54,3.01,19.47
TROUGHTON ISLAND,25/06/2023,4.0,0.0, ,29.4,23.6,97,58,2.71,19.56
TROUGHTON ISLAND,26/06/2023, ,0.0, , ,25.0,100,63,4.07,16.07
TROUGHTON ISLAND,27/06/2023, , , , , ,100,71,6.23,18.00
Totals:,,113.8,0, ,,,,,, 
