'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRUSCOTT Western Australia for September 2022,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 October 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRUSCOTT,01/09/2022,5.7,0.0, ,33.5,23.6,100,40,2.99,23.32
TRUSCOTT,02/09/2022,5.7,0.0, ,34.7,21.7,100,36,2.58,23.73
TRUSCOTT,03/09/2022,6.1,0.0, ,33.6,21.7,91,32,3.11,24.16
TRUSCOTT,04/09/2022,6.2,0.0, ,33.8,21.9,86,24,2.74,24.24
TRUSCOTT,05/09/2022,5.6,0.0, ,33.9,18.9,100,28,2.12,24.32
TRUSCOTT,06/09/2022,5.1,0.0, ,31.3,20.9,100,48,2.29,24.41
TRUSCOTT,07/09/2022,5.6,0.0, ,32.0,21.8,100,40,2.99,24.52
TRUSCOTT,08/09/2022,5.2,0.0, ,32.4,20.5,100,47,2.13,24.61
TRUSCOTT,09/09/2022,6.1,0.0, ,33.9,21.0,100,26,2.78,24.70
TRUSCOTT,10/09/2022,6.1,0.0, ,32.0,21.9,95,38,3.75,24.76
TRUSCOTT,11/09/2022,5.7,0.0, ,32.1,22.3,100,40,2.99,24.85
TRUSCOTT,12/09/2022,6.1,0.0, ,34.0,20.5,100,30,2.82,24.95
TRUSCOTT,13/09/2022,6.0,0.0, ,35.0,24.1,100,32,2.91,22.63
TRUSCOTT,14/09/2022,6.0,0.0, ,32.9,23.3,100,37,3.17,24.68
TRUSCOTT,15/09/2022,6.7,0.0, ,35.7,25.1,100,35,3.66,25.00
TRUSCOTT,16/09/2022,5.4,0.0, ,31.9,23.2,100,54,2.90,24.88
TRUSCOTT,17/09/2022,5.8,0.0, ,34.3,22.0,100,46,2.45,25.33
TRUSCOTT,18/09/2022,5.8,0.0, ,33.6,22.2,100,36,2.34,25.39
TRUSCOTT,19/09/2022,6.5,0.0, ,35.9,21.4,100,23,2.63,25.53
TRUSCOTT,20/09/2022,6.0,0.0, ,35.3,21.9,100,39,2.38,25.60
TRUSCOTT,21/09/2022,6.2,0.0, ,35.4,22.6,100,30,2.26,25.69
TRUSCOTT,22/09/2022,6.4,0.0, ,34.8,26.1,96,35,2.85,25.38
TRUSCOTT,23/09/2022,6.5,0.0, ,35.6,25.3,96,35,2.80,25.28
TRUSCOTT,24/09/2022,6.2,0.0, ,34.0,24.4,90,42,3.33,24.22
TRUSCOTT,25/09/2022,6.0,0.0, ,33.2,26.2,100,54,3.22,25.99
TRUSCOTT,26/09/2022,6.1,0.0, ,34.5,24.1,100,47,2.75,26.09
TRUSCOTT,27/09/2022,5.7,0.0, ,32.3,23.8,100,52,2.53,25.91
TRUSCOTT,28/09/2022,5.9,0.0, ,34.4,23.3,100,44,2.46,25.21
TRUSCOTT,29/09/2022,5.6,0.0, ,34.1,23.9,100,51,2.91,23.48
TRUSCOTT,30/09/2022,3.4,8.2, ,31.1,24.0,100,68,2.73,13.64
Totals:,,175.4,8.2, ,,,,,, 
