'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRUSCOTT Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRUSCOTT,01/10/2022,2.5,10.8, ,27.7,24.4,100,71,2.86,9.48
TRUSCOTT,02/10/2022,4.4,20.8, ,30.1,21.4,100,61,3.29,19.66
TRUSCOTT,03/10/2022,4.9,0.8, ,31.3,22.2,100,48,2.00,22.15
TRUSCOTT,04/10/2022,5.4,0.0, ,32.6,24.1,100,58,2.03,24.87
TRUSCOTT,05/10/2022,6.1,0.0, ,33.5,23.9,100,45,2.42,27.02
TRUSCOTT,06/10/2022,6.5,0.0, ,34.5,24.4,92,41,2.70,26.91
TRUSCOTT,07/10/2022,6.4,0.0, ,34.1,24.0,100,44,2.88,27.14
TRUSCOTT,08/10/2022,6.3,0.0, ,35.0,25.3,92,48,2.52,26.05
TRUSCOTT,09/10/2022,6.9,0.0, ,37.0,25.7,93,37,2.68,27.12
TRUSCOTT,10/10/2022,5.6,0.0, ,34.6,25.7,100,53,2.36,23.75
TRUSCOTT,11/10/2022,5.7,4.8, ,34.3,25.7,100,51,2.57,23.54
TRUSCOTT,12/10/2022,7.0,0.0, ,33.8,26.9,91,49,4.37,27.41
TRUSCOTT,13/10/2022,7.1,0.0, ,34.3,26.3,86,43,3.88,27.46
TRUSCOTT,14/10/2022,6.8,0.0, ,34.1,26.2,90,45,3.19,27.48
TRUSCOTT,15/10/2022,6.2,0.0, ,34.5,24.4,100,28,2.55,24.40
TRUSCOTT,16/10/2022,7.2,0.0, ,36.0,26.4,83,32,2.80,27.32
TRUSCOTT,17/10/2022,6.7,0.0, ,34.9,25.0,90,46,2.96,27.56
TRUSCOTT,18/10/2022,6.0,0.0, ,34.6,25.0,100,52,2.53,25.46
TRUSCOTT,19/10/2022,6.0,0.0, ,33.6,26.1,98,48,2.27,25.68
TRUSCOTT,20/10/2022,6.5,0.0, ,34.6,25.6,87,39,2.87,25.15
TRUSCOTT,21/10/2022,7.0,0.0, ,35.6,25.5,95,38,2.99,27.67
TRUSCOTT,22/10/2022,8.1,0.0, ,36.0,27.8,82,37,4.59,27.80
TRUSCOTT,23/10/2022,7.4,0.0, ,34.3,28.2,86,54,5.53,27.52
TRUSCOTT,24/10/2022,7.5,0.0, ,33.3,27.6,86,53,6.41,27.69
TRUSCOTT,25/10/2022,7.5,0.0, ,33.5,27.1,81,54,5.77,27.93
TRUSCOTT,26/10/2022,7.7,0.0, ,34.2,27.0,81,49,5.51,27.58
TRUSCOTT,27/10/2022,8.3,0.0, ,35.8,27.0,82,41,5.60,27.87
TRUSCOTT,28/10/2022,7.8,0.0, ,34.7,27.8,79,47,5.03,27.83
TRUSCOTT,29/10/2022,7.4,0.0, ,34.7,26.3,82,43,3.75,28.07
TRUSCOTT,30/10/2022,7.0,0.0, ,34.1,26.8,83,47,3.62,27.49
TRUSCOTT,31/10/2022,6.9,0.0, ,35.2,23.9,91,45,3.04,28.13
Totals:,,202.8,37.2, ,,,,,, 
