'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRUSCOTT Western Australia for November 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 December 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRUSCOTT,01/11/2022,7.8,0.0, ,37.6,26.3,81,23,2.93,28.28
TRUSCOTT,02/11/2022,6.7,0.0, ,35.4,23.7,88,32,2.22,27.95
TRUSCOTT,03/11/2022, ,0.0, , ,24.2,100,31,2.47,28.11
TRUSCOTT,04/11/2022, , , ,35.1, ,89,41,2.85,26.98
TRUSCOTT,05/11/2022,5.9,0.0, ,34.0,25.8,100,52,2.39,25.05
TRUSCOTT,06/11/2022,7.0,0.2, ,36.2,25.5,91,39,2.60,27.79
TRUSCOTT,07/11/2022,7.5,0.0, ,36.0,26.0,85,35,3.30,28.33
TRUSCOTT,08/11/2022,7.8,0.0, ,36.1,27.6,83,43,4.25,28.00
TRUSCOTT,09/11/2022,7.5,0.0, ,35.9,25.7,85,47,4.26,27.86
TRUSCOTT,10/11/2022,6.9,0.0, ,35.2,24.1,84,53,3.20,28.39
TRUSCOTT,11/11/2022,6.7,0.0, ,34.0,26.1,91,52,2.99,28.14
TRUSCOTT,12/11/2022,6.9,0.0, ,34.8,25.8,97,42,2.98,28.42
TRUSCOTT,13/11/2022,7.0,0.0, ,34.6,26.4,85,47,3.15,28.31
TRUSCOTT,14/11/2022,7.2,0.0, ,35.3,25.5,92,42,3.49,28.27
TRUSCOTT,15/11/2022, ,0.0, , ,26.0,100,48,3.03,27.81
TRUSCOTT,16/11/2022,7.0, , ,35.6,26.4,88,45,3.04,27.24
TRUSCOTT,17/11/2022,7.3,0.0, ,35.1,27.5,89,42,3.50,28.19
TRUSCOTT,18/11/2022,7.1,0.0, ,35.1,26.1,93,44,3.45,28.32
TRUSCOTT,19/11/2022,7.3,0.0, ,36.6,27.0,84,34,3.07,26.25
TRUSCOTT,20/11/2022,4.2,0.0, ,34.1,27.7,100,49,2.35,14.58
TRUSCOTT,21/11/2022,1.3,34.4, ,29.7,24.2,100,86,2.50,3.91
TRUSCOTT,22/11/2022,3.3,33.4, ,29.6,22.8,100,71,2.95,13.92
TRUSCOTT,23/11/2022,4.6,0.8, ,31.7,24.4,99,60,2.18,19.68
TRUSCOTT,24/11/2022,5.1,20.6, ,32.4,24.3,100,52,1.60,23.03
TRUSCOTT,25/11/2022,6.7,0.0, ,34.5,25.6,94,41,2.36,28.08
TRUSCOTT,26/11/2022,4.9,0.0, ,32.5,26.8,98,59,2.22,20.63
TRUSCOTT,27/11/2022,5.4,0.0, ,32.6,26.2,100,58,2.79,22.80
TRUSCOTT,28/11/2022,6.1,1.8, ,33.1,25.3,100,52,4.13,24.65
TRUSCOTT,29/11/2022,6.4,0.0, ,33.9,25.5,79,49,3.65,23.27
TRUSCOTT,30/11/2022,5.5,3.4, ,34.1,23.1,100,53,2.91,22.34
Totals:,,167.1,94.6, ,,,,,, 
