'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TRUSCOTT Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TRUSCOTT,01/10/2023,5.9,0.0, ,32.4,23.6,100,46,2.83,25.97
TRUSCOTT,02/10/2023,6.2,0.0, ,33.4,23.9,100,44,3.10,26.38
TRUSCOTT,03/10/2023,6.8,0.0, ,34.3,25.8,96,37,3.55,26.66
TRUSCOTT,04/10/2023,7.0,0.0, ,33.8,26.7,90,37,3.78,26.53
TRUSCOTT,05/10/2023,6.0,0.0, ,33.2,26.0,95,57,2.52,26.50
TRUSCOTT,06/10/2023,5.6,0.0, ,34.9,24.8,100,43,2.19,22.68
TRUSCOTT,07/10/2023,7.5,0.0, ,37.3,24.2,98,18,3.04,26.96
TRUSCOTT,08/10/2023,7.1,0.0, ,37.0,21.6,89,11,2.45,27.07
TRUSCOTT,09/10/2023,7.1,0.0, ,36.3,19.4,100,14,2.62,27.11
TRUSCOTT,10/10/2023,6.3,0.0, ,33.5,20.4,100,33,2.57,27.16
TRUSCOTT,11/10/2023,6.1,0.0, ,33.9,22.2,100,46,2.67,26.47
TRUSCOTT,12/10/2023,5.9,0.0, ,35.9,23.9,100,35,2.34,22.98
TRUSCOTT,13/10/2023,6.6,0.0, ,34.6,24.4,95,37,2.70,27.17
TRUSCOTT,14/10/2023,6.7,0.0, ,33.9,26.0,94,45,3.41,27.35
TRUSCOTT,15/10/2023,6.9,0.0, ,36.3,23.7,100,33,2.75,27.43
TRUSCOTT,16/10/2023,6.8,0.0, ,34.8,24.0,100,31,2.82,27.47
TRUSCOTT,17/10/2023,7.0,0.0, ,36.3,22.7,100,19,2.49,27.51
TRUSCOTT,18/10/2023,8.2,0.0, ,38.6,22.4,100,11,3.40,27.54
TRUSCOTT,19/10/2023,7.7,0.0, ,39.1,23.1,100,12,2.68,27.60
TRUSCOTT,20/10/2023,6.4,0.0, ,34.6,20.6,100,35,2.25,27.64
TRUSCOTT,21/10/2023,5.9,0.0, ,32.7,23.0,100,54,2.19,27.46
TRUSCOTT,22/10/2023,6.0,0.0, ,32.3,22.9,100,50,2.31,27.68
TRUSCOTT,23/10/2023,6.2,0.0, ,33.9,22.6,100,46,2.35,27.75
TRUSCOTT,24/10/2023,6.7,0.0, ,33.5,25.6,99,44,3.42,27.69
TRUSCOTT,25/10/2023,6.8,0.0, ,34.8,24.2,99,34,2.93,27.45
TRUSCOTT,26/10/2023,6.2,0.0, ,34.2,25.0,100,55,2.60,27.15
TRUSCOTT,27/10/2023,7.5,0.0, ,37.7,25.3,100,21,2.75,27.77
TRUSCOTT,28/10/2023,7.7,0.0, ,38.5,22.0,85,10,2.62,27.84
TRUSCOTT,29/10/2023,6.5,0.0, ,35.4,22.6,100,39,2.17,27.89
TRUSCOTT,30/10/2023,6.1,0.0, ,33.3,23.9,100,46,2.26,27.02
TRUSCOTT,31/10/2023,6.4,0.0, ,34.1,24.6,100,47,2.54,27.77
Totals:,,205.8,0, ,,,,,, 
