'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANDERING Western Australia for August 2022,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 September 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANDERING,01/08/2022,1.5,0.6, ,17.0,5.2,95,73,5.41,7.17
WANDERING,02/08/2022,1.7,25.2, ,13.6,7.6,89,65,5.27,9.31
WANDERING,03/08/2022,1.6,21.4, ,14.2,6.0,95,59,3.86,8.19
WANDERING,04/08/2022,1.8,8.2, ,14.4,6.9,96,53,2.69,12.76
WANDERING,05/08/2022,1.5,0.4, ,14.7,1.9,100,59,1.82,12.56
WANDERING,06/08/2022,1.6,0.2, ,16.0,4.8,100,58,2.28,10.35
WANDERING,07/08/2022,1.8,13.2, ,16.3,7.9,98,56,2.49,13.50
WANDERING,08/08/2022,1.3,0.0, ,16.0,4.7,99,71,4.01,4.17
WANDERING,09/08/2022,1.5,27.2, ,11.7,4.2,97,64,2.99,12.91
WANDERING,10/08/2022,1.6,1.0, ,14.8,1.2,99,59,2.37,13.40
WANDERING,11/08/2022,1.7,0.2, ,16.1,0.9,100,61,2.09,13.82
WANDERING,12/08/2022,2.1,0.0, ,16.9,4.1,98,56,3.06,15.20
WANDERING,13/08/2022,1.6,0.0, ,13.8,9.4,97,56,4.22,5.25
WANDERING,14/08/2022,1.9,6.4, ,16.8,2.4,100,52,1.95,14.44
WANDERING,15/08/2022,2.5,0.2, ,20.1,6.2,95,56,3.54,15.36
WANDERING,16/08/2022,1.9,13.0, ,15.8,12.5,98,63,4.17,10.28
WANDERING,17/08/2022,1.5,19.4, ,13.8,7.1,97,65,2.56,9.05
WANDERING,18/08/2022,1.7,4.0, ,15.3,0.0,99,61,2.41,12.97
WANDERING,19/08/2022,1.7,0.0, ,17.4,4.4,99,68,1.73,12.63
WANDERING,20/08/2022,1.9,0.0, ,17.9,4.3,99,58,1.50,14.52
WANDERING,21/08/2022,2.2,0.0, ,17.6,4.0,99,54,2.56,15.61
WANDERING,22/08/2022,2.2,0.0, ,13.7,1.9,99,50,3.94,16.57
WANDERING,23/08/2022,2.0,0.0, ,14.2,1.7,90,57,2.95,15.68
WANDERING,24/08/2022,2.2,0.0, ,15.9,5.3,87,53,2.41,14.78
WANDERING,25/08/2022,2.6,0.0, ,20.0,2.5,97,40,2.01,16.95
WANDERING,26/08/2022,2.3,0.0, ,20.3,0.5,99,46,1.52,17.22
WANDERING,27/08/2022,2.1,1.4, ,15.7,5.3,100,54,2.68,14.21
WANDERING,28/08/2022,2.1,0.6, ,15.4,0.9,99,47,2.32,14.85
WANDERING,29/08/2022,1.7,0.0, ,14.7,0.2,100,57,0.97,15.62
WANDERING,30/08/2022,2.0,0.0, ,16.1,-0.4,99,51,1.05,17.85
WANDERING,31/08/2022,2.4,0.0, ,16.6,-0.6,98,51,2.58,17.78
Totals:,,58.2,142.6, ,,,,,, 
