'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARBURTON AIRFIELD Western Australia for March 2023,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 April 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARBURTON AIRFIELD,01/03/2023,10.6,0.0, ,35.4,23.2,43,21,7.10,25.88
WARBURTON AIRFIELD,02/03/2023,10.2,0.0, ,37.6,23.3,31,18,5.47,25.51
WARBURTON AIRFIELD,03/03/2023,9.8,0.0, ,39.1,24.1,26,12,4.39,25.96
WARBURTON AIRFIELD,04/03/2023,8.9,0.0, ,41.0,25.0,22,8,3.39,25.80
WARBURTON AIRFIELD,05/03/2023,10.0,0.0, ,37.1,25.8,37,18,5.45,25.55
WARBURTON AIRFIELD,06/03/2023,9.6,0.0, ,34.4,21.8,39,14,5.54,25.45
WARBURTON AIRFIELD,07/03/2023,9.3,0.0, ,32.9,20.3,40,14,5.68,25.28
WARBURTON AIRFIELD,08/03/2023,8.9,0.0, ,30.9,18.7,43,12,5.83,25.10
WARBURTON AIRFIELD,09/03/2023,7.1,0.0, ,33.4,15.8,44,12,3.14,24.97
WARBURTON AIRFIELD,10/03/2023,8.3,0.0, ,38.7,19.7,30,10,3.36,24.83
WARBURTON AIRFIELD,11/03/2023,9.2,0.0, ,38.0,19.7,39,12,4.48,24.68
WARBURTON AIRFIELD,12/03/2023,7.7,0.0, ,33.6,19.9,62,21,4.44,24.50
WARBURTON AIRFIELD,13/03/2023,8.2,0.0, ,35.3,20.3,52,13,4.18,24.37
WARBURTON AIRFIELD,14/03/2023,8.0,0.0, ,38.0,19.0,43,10,3.42,24.04
WARBURTON AIRFIELD,15/03/2023,8.4,0.0, ,40.4,18.7,30,9,3.34,24.02
WARBURTON AIRFIELD,16/03/2023,9.6,0.0, ,42.3,26.4,22,8,4.03,23.86
WARBURTON AIRFIELD,17/03/2023,12.2,0.0, ,44.4,28.7,23,9,5.90,21.97
WARBURTON AIRFIELD,18/03/2023,9.1,0.0, ,35.6,23.6,50,18,6.11,19.08
WARBURTON AIRFIELD,19/03/2023,7.4,0.0, ,30.8,26.0,42,31,6.22,11.35
WARBURTON AIRFIELD,20/03/2023,9.7,0.0, ,39.1,22.4,49,21,5.66,23.22
WARBURTON AIRFIELD,21/03/2023,10.8,0.0, ,40.2,25.0,47,12,6.10,22.98
WARBURTON AIRFIELD,22/03/2023,10.1,0.0, ,40.1,24.7,47,11,5.36,22.42
WARBURTON AIRFIELD,23/03/2023,10.4,0.0, ,41.1,27.2,31,11,5.28,21.77
WARBURTON AIRFIELD,24/03/2023,7.3,0.0, ,40.7,23.6,33,14,2.93,19.91
WARBURTON AIRFIELD,25/03/2023,7.6,0.0, ,38.3,23.5,81,23,4.61,19.12
WARBURTON AIRFIELD,26/03/2023,3.1,3.2, ,28.4,21.9,88,56,2.96,9.56
WARBURTON AIRFIELD,27/03/2023,2.0,8.0, ,24.9,20.6,96,79,2.51,8.29
WARBURTON AIRFIELD,28/03/2023,3.9,2.6, ,27.7,20.9,94,54,4.78,13.71
WARBURTON AIRFIELD,29/03/2023,6.0,0.0, ,28.3,19.7,69,32,5.72,15.26
WARBURTON AIRFIELD,30/03/2023,3.4,0.0, ,24.4,19.7,94,47,5.42,7.75
WARBURTON AIRFIELD,31/03/2023,1.6,2.8, ,19.9,15.6,96,82,4.53,7.05
Totals:,,248.4,16.6, ,,,,,, 
