'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARBURTON AIRFIELD Western Australia for August 2023,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 September 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARBURTON AIRFIELD,01/08/2023,5.5,0.0, ,28.9,14.2,52,28,4.74,15.86
WARBURTON AIRFIELD,02/08/2023,6.8,0.0, ,29.1,15.8,50,22,6.29,16.53
WARBURTON AIRFIELD,03/08/2023,7.4,0.0, ,30.1,20.3,65,22,7.74,15.84
WARBURTON AIRFIELD,04/08/2023,2.8,0.0, ,18.5,13.9,94,49,5.75,9.94
WARBURTON AIRFIELD,05/08/2023,4.5,0.2, ,25.3,11.1,93,34,5.58,16.94
WARBURTON AIRFIELD,06/08/2023,4.6,0.0, ,27.8,11.8,73,23,3.59,16.32
WARBURTON AIRFIELD,07/08/2023,4.9,0.0, ,26.8,15.6,55,20,3.62,17.34
WARBURTON AIRFIELD,08/08/2023,4.5,0.0, ,27.1,11.0,50,20,2.96,17.44
WARBURTON AIRFIELD,09/08/2023,4.8,0.0, ,28.6,9.4,46,17,2.97,17.55
WARBURTON AIRFIELD,10/08/2023,5.5,0.0, ,29.0,15.3,55,15,3.87,17.66
WARBURTON AIRFIELD,11/08/2023,5.7,0.0, ,29.4,13.4,36,16,3.87,16.44
WARBURTON AIRFIELD,12/08/2023,5.4,0.0, ,30.7,13.8,40,15,3.32,15.60
WARBURTON AIRFIELD,13/08/2023,5.5,0.0, ,31.6,12.3,46,15,3.30,16.59
WARBURTON AIRFIELD,14/08/2023,4.6,0.0, ,27.1,12.7,53,25,3.30,16.32
WARBURTON AIRFIELD,15/08/2023,4.4,0.0, ,26.7,13.6,75,20,3.11,16.52
WARBURTON AIRFIELD,16/08/2023,7.4,0.0, ,29.8,15.7,51,17,6.41,17.50
WARBURTON AIRFIELD,17/08/2023,4.5,0.0, ,21.6,10.9,72,29,5.01,18.33
WARBURTON AIRFIELD,18/08/2023,4.7,0.0, ,22.0,6.5,65,23,4.79,18.54
WARBURTON AIRFIELD,19/08/2023,4.9,0.0, ,25.1,8.2,64,16,3.60,18.65
WARBURTON AIRFIELD,20/08/2023,4.8,0.0, ,26.9,10.6,45,16,2.92,18.10
WARBURTON AIRFIELD,21/08/2023,5.7,0.0, ,28.9,12.4,33,14,3.52,17.59
WARBURTON AIRFIELD,22/08/2023,5.7,0.0, ,27.0,12.4,60,18,4.49,19.05
WARBURTON AIRFIELD,23/08/2023,6.5,0.0, ,30.0,14.5,33,12,4.17,19.18
WARBURTON AIRFIELD,24/08/2023,4.7,0.0, ,30.7,9.3,39,11,2.09,19.28
WARBURTON AIRFIELD,25/08/2023,5.7,0.0, ,31.1,10.7,31,11,2.97,19.48
WARBURTON AIRFIELD,26/08/2023,6.1,0.0, ,30.9,14.2,26,11,3.32,19.59
WARBURTON AIRFIELD,27/08/2023,6.1,0.0, ,30.7,10.9,30,10,3.36,19.68
WARBURTON AIRFIELD,28/08/2023,5.4,0.0, ,31.2,10.6,29,8,2.58,19.84
WARBURTON AIRFIELD,29/08/2023,6.2,0.0, ,33.0,8.7,29,6,3.03,19.94
WARBURTON AIRFIELD,30/08/2023,6.2,0.0, ,27.2,14.7,58,20,4.97,20.07
WARBURTON AIRFIELD,31/08/2023,5.5,0.0, ,23.9,10.1,45,15,4.12,20.19
Totals:,,167,0.2, ,,,,,, 
