'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILUNA AERO Western Australia for January 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 February 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILUNA AERO,01/01/2023,12.0,0.0, ,42.8,26.1,35,9,4.90,30.73
WILUNA AERO,02/01/2023,14.2,0.0, ,40.4,28.3,34,11,7.93,29.85
WILUNA AERO,03/01/2023,14.3,0.0, ,40.2,25.8,31,12,8.12,31.06
WILUNA AERO,04/01/2023,12.7,0.0, ,38.0,23.3,35,11,7.05,30.59
WILUNA AERO,05/01/2023,10.9,0.0, ,35.9,21.1,34,9,5.39,31.09
WILUNA AERO,06/01/2023,9.9,0.0, ,38.6,20.9,30,7,3.75,31.02
WILUNA AERO,07/01/2023,8.4,0.0, ,41.0,20.8,20,7,2.85,23.37
WILUNA AERO,08/01/2023,12.9,0.0, ,41.9,26.1,35,6,5.85,30.69
WILUNA AERO,09/01/2023,12.7,0.0, ,40.6,27.8,20,10,5.96,29.33
WILUNA AERO,10/01/2023,12.8,0.0, ,41.3,28.4,28,6,6.05,27.18
WILUNA AERO,11/01/2023,12.2,0.0, ,40.0,23.9,20,5,5.40,30.88
WILUNA AERO,12/01/2023,12.3,0.0, ,41.7,25.0,21,5,5.20,30.82
WILUNA AERO,13/01/2023,10.4,0.0, ,43.4,21.1,20,5,3.48,30.78
WILUNA AERO,14/01/2023,14.7,0.0, ,40.1,27.1,30,8,8.30,30.49
WILUNA AERO,15/01/2023,11.7,0.0, ,39.6,23.9,51,13,6.40,27.23
WILUNA AERO,16/01/2023,7.6,0.0, ,34.9,24.4,57,23,5.31,12.74
WILUNA AERO,17/01/2023,10.1,0.6, ,38.7,24.6,66,18,5.48,26.56
WILUNA AERO,18/01/2023,11.1,0.0, ,37.5,24.7,54,24,6.74,29.68
WILUNA AERO,19/01/2023,8.9,0.0, ,34.9,25.2,35,18,5.05,18.59
WILUNA AERO,20/01/2023,11.2,0.0, ,37.8,24.3,32,12,5.52,28.57
WILUNA AERO,21/01/2023,11.4,0.0, ,37.7,24.3,25,11,5.49,30.27
WILUNA AERO,22/01/2023,12.0,0.0, ,39.0,25.0,21,8,5.61,30.11
WILUNA AERO,23/01/2023,10.9,0.0, ,39.5,26.6,20,9,4.98,24.24
WILUNA AERO,24/01/2023,11.8,0.0, ,41.3,27.0,23,9,5.35,26.70
WILUNA AERO,25/01/2023,7.9,0.0, ,38.2,26.5,42,15,3.79,16.64
WILUNA AERO,26/01/2023,8.4,0.0, ,35.8,27.4,40,13,5.07,11.77
WILUNA AERO,27/01/2023,9.6,0.0, ,38.4,27.9,68,17,5.52,22.40
WILUNA AERO,28/01/2023,9.3,0.8, ,36.0,21.1,70,23,5.15,29.17
WILUNA AERO,29/01/2023,10.2,0.0, ,37.1,24.4,52,20,5.60,27.61
WILUNA AERO,30/01/2023,9.9,0.0, ,38.4,25.6,51,14,4.45,28.73
WILUNA AERO,31/01/2023,9.3,0.0, ,40.7,23.4,53,9,3.31,29.21
Totals:,,341.7,1.4, ,,,,,, 
