'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILUNA AERO Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILUNA AERO,01/02/2023,8.1,0.0, ,38.4,23.3,23,9,3.37,18.57
WILUNA AERO,02/02/2023,11.4,0.0, ,39.1,26.2,31,13,5.54,28.41
WILUNA AERO,03/02/2023,11.5,0.0, ,36.5,24.7,24,13,6.03,29.16
WILUNA AERO,04/02/2023,9.8,0.0, ,37.0,23.0,30,14,4.68,26.24
WILUNA AERO,05/02/2023,9.4,0.0, ,39.0,20.9,26,9,3.56,29.04
WILUNA AERO,06/02/2023,9.8,0.0, ,42.6,22.0,25,7,3.43,28.11
WILUNA AERO,07/02/2023,9.4,0.0, ,42.8,25.3,36,10,3.26,27.14
WILUNA AERO,08/02/2023,11.2,0.0, ,43.4,25.8,15,9,4.40,28.39
WILUNA AERO,09/02/2023,11.1,0.0, ,43.7,30.6,25,8,4.77,22.20
WILUNA AERO,10/02/2023,11.4,0.0, ,42.2,29.8,27,11,5.65,19.15
WILUNA AERO,11/02/2023,9.1,0.0, ,42.6,29.2,30,9,3.53,21.49
WILUNA AERO,12/02/2023,10.2,0.0, ,42.4,25.5,30,11,4.14,25.32
WILUNA AERO,13/02/2023,10.6,0.0, ,41.4,25.8,46,12,5.13,23.78
WILUNA AERO,14/02/2023,9.3,0.0, ,41.1,24.8,49,9,3.89,23.88
WILUNA AERO,15/02/2023,9.6,0.0, ,41.5,21.9,18,8,3.58,27.51
WILUNA AERO,16/02/2023,9.9,0.0, ,41.6,22.4,28,6,3.77,27.90
WILUNA AERO,17/02/2023,9.9,0.0, ,42.3,24.7,24,5,3.65,27.80
WILUNA AERO,18/02/2023,11.4,0.0, ,45.1,24.6,28,8,4.79,23.48
WILUNA AERO,19/02/2023,9.3,0.0, ,42.8,26.6,35,11,3.48,25.18
WILUNA AERO,20/02/2023,11.1,0.0, ,42.2,28.2,34,12,5.27,23.76
WILUNA AERO,21/02/2023,11.1,0.0, ,41.5,28.3,36,16,5.32,26.54
WILUNA AERO,22/02/2023,8.1,0.0, ,39.5,28.0,71,20,4.33,19.23
WILUNA AERO,23/02/2023,4.1,12.2, ,28.4,23.2,86,54,5.10,11.07
WILUNA AERO,24/02/2023,7.3,0.4, ,34.2,22.1,80,34,5.29,21.73
WILUNA AERO,25/02/2023,8.8,0.6, ,34.2,21.0,70,27,5.99,26.81
WILUNA AERO,26/02/2023,8.4,0.0, ,35.6,19.1,47,14,3.93,26.60
WILUNA AERO,27/02/2023,8.7,0.0, ,38.6,22.3,49,17,3.99,24.34
WILUNA AERO,28/02/2023,10.6,0.0, ,39.6,27.8,44,17,5.82,23.57
Totals:,,270.6,13.2, ,,,,,, 
