'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILUNA AERO Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILUNA AERO,01/10/2023,8.4,0.0, ,34.8,11.9,41,8,4.15,24.66
WILUNA AERO,02/10/2023,7.5,0.0, ,28.3,15.4,59,19,5.64,24.78
WILUNA AERO,03/10/2023,7.4,0.0, ,25.1,12.1,46,10,5.58,24.88
WILUNA AERO,04/10/2023,6.8,0.0, ,28.3,9.4,46,10,3.77,25.03
WILUNA AERO,05/10/2023,7.5,0.0, ,30.3,12.3,40,10,4.12,25.22
WILUNA AERO,06/10/2023,8.1,0.0, ,33.0,14.5,33,8,3.99,25.38
WILUNA AERO,07/10/2023,8.0,0.0, ,34.8,14.5,34,8,3.58,25.52
WILUNA AERO,08/10/2023,7.3,0.0, ,36.8,14.7,31,7,2.67,25.66
WILUNA AERO,09/10/2023,7.9,0.0, ,37.1,18.7,24,7,3.08,25.82
WILUNA AERO,10/10/2023,8.4,0.0, ,38.7,18.5,28,6,3.30,25.25
WILUNA AERO,11/10/2023,10.8,0.0, ,35.1,23.0,35,16,6.84,25.95
WILUNA AERO,12/10/2023,8.9,0.0, ,30.0,20.1,42,21,7.12,20.91
WILUNA AERO,13/10/2023,8.9,0.0, ,32.2,17.1,33,12,5.37,23.53
WILUNA AERO,14/10/2023,8.4,0.0, ,33.9,16.1,34,10,4.07,25.57
WILUNA AERO,15/10/2023,9.2,0.0, ,34.4,16.4,26,7,4.58,26.58
WILUNA AERO,16/10/2023,8.5,0.0, ,33.4,14.5,34,8,4.15,26.70
WILUNA AERO,17/10/2023,7.8,0.0, ,35.7,14.8,26,6,3.01,26.83
WILUNA AERO,18/10/2023,8.9,0.0, ,37.9,16.3,20,5,3.59,27.00
WILUNA AERO,19/10/2023,8.0,0.0, ,34.1,14.9,31,11,3.48,26.58
WILUNA AERO,20/10/2023,8.0,0.0, ,36.4,17.3,39,9,3.16,26.64
WILUNA AERO,21/10/2023,8.3,0.0, ,38.3,19.0,36,8,3.16,25.57
WILUNA AERO,22/10/2023,11.3,0.0, ,39.4,21.8,28,6,5.72,23.88
WILUNA AERO,23/10/2023,8.0,0.0, ,30.0,19.6,57,9,4.33,27.59
WILUNA AERO,24/10/2023,8.5,0.0, ,30.3,15.1,33,16,5.05,27.06
WILUNA AERO,25/10/2023,9.8,0.0, ,33.4,18.0,30,10,5.46,27.77
WILUNA AERO,26/10/2023,9.9,0.0, ,38.4,19.8,23,7,4.21,27.98
WILUNA AERO,27/10/2023,10.4,0.0, ,35.3,22.4,34,11,5.74,26.46
WILUNA AERO,28/10/2023,7.1,0.0, ,31.7,22.9,40,15,4.46,11.72
WILUNA AERO,29/10/2023,9.1,0.0, ,36.3,13.9,63,5,4.10,28.25
WILUNA AERO,30/10/2023,10.1,0.0, ,34.4,17.3,33,9,5.44,28.30
WILUNA AERO,31/10/2023,10.3,0.0, ,32.8,17.8,37,15,6.62,28.41
Totals:,,267.5,0, ,,,,,, 
