'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WYNDHAM AERO Western Australia for October 2022,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 November 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WYNDHAM AERO,01/10/2022,3.4,0.6, ,29.0,24.8,85,54,3.27,8.68
WYNDHAM AERO,02/10/2022,3.3,9.8, ,31.8,20.9,94,60,2.85,10.95
WYNDHAM AERO,03/10/2022,6.8,1.4, ,37.0,22.0,90,32,3.29,23.55
WYNDHAM AERO,04/10/2022,8.2,0.0, ,39.2,24.2,80,26,3.64,26.74
WYNDHAM AERO,05/10/2022,7.7,0.0, ,39.1,24.6,86,31,3.53,25.84
WYNDHAM AERO,06/10/2022,8.0,0.0, ,38.5,25.8,72,35,3.92,25.83
WYNDHAM AERO,07/10/2022,8.3,0.0, ,40.3,27.1,81,29,4.31,23.14
WYNDHAM AERO,08/10/2022,8.4,2.4, ,40.4,26.2,94,29,4.62,24.24
WYNDHAM AERO,09/10/2022,7.2,23.8, ,38.2,23.0,89,37,4.03,22.65
WYNDHAM AERO,10/10/2022,8.8,0.0, ,39.7,25.8,85,23,4.17,27.39
WYNDHAM AERO,11/10/2022,8.6,0.0, ,40.5,26.2,77,22,3.57,26.85
WYNDHAM AERO,12/10/2022,9.7,0.0, ,41.4,29.0,82,21,4.85,26.67
WYNDHAM AERO,13/10/2022,8.5,0.0, ,40.6,26.4,92,20,3.50,27.42
WYNDHAM AERO,14/10/2022,9.3,0.0, ,40.4,26.8,70,24,4.33,26.96
WYNDHAM AERO,15/10/2022,8.9,0.0, ,40.5,26.9,77,29,4.25,26.77
WYNDHAM AERO,16/10/2022,8.8,0.0, ,41.1,29.5,63,26,3.62,26.28
WYNDHAM AERO,17/10/2022,9.2,0.0, ,40.9,27.7,61,26,4.07,26.30
WYNDHAM AERO,18/10/2022,6.9,7.4, ,38.9,24.3,92,27,3.50,19.75
WYNDHAM AERO,19/10/2022, ,0.4, , ,26.9,74,24,4.14,27.90
WYNDHAM AERO,20/10/2022, , , ,40.6, ,73,21,2.87,26.66
WYNDHAM AERO,21/10/2022,8.7,0.0, ,41.6,28.4,78,19,3.41,26.46
WYNDHAM AERO,22/10/2022,9.5,0.0, ,43.2,27.0,75,14,3.86,26.10
WYNDHAM AERO,23/10/2022,9.6,0.0, ,44.3,27.0,91,13,3.72,27.47
WYNDHAM AERO,24/10/2022,9.7,0.0, ,44.5,26.9,83,16,3.87,26.53
WYNDHAM AERO,25/10/2022,9.7,0.0, ,43.4,28.3,83,18,4.28,26.16
WYNDHAM AERO,26/10/2022,9.4,0.0, ,43.9,27.3,81,17,3.75,26.34
WYNDHAM AERO,27/10/2022,9.7,0.0, ,43.5,28.7,70,18,4.30,24.37
WYNDHAM AERO,28/10/2022,9.3,0.0, ,41.9,28.2,84,28,4.82,25.30
WYNDHAM AERO,29/10/2022,10.1,0.0, ,40.8,25.7,82,21,5.13,28.20
WYNDHAM AERO,30/10/2022,9.2,0.0, ,41.0,26.0,75,24,4.08,27.12
WYNDHAM AERO,31/10/2022,9.7,0.0, ,41.4,26.1,86,22,4.56,28.21
Totals:,,244.6,45.8, ,,,,,, 
