'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WYNDHAM AERO Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WYNDHAM AERO,01/02/2023,6.2,1.6, ,34.9,26.3,95,56,4.08,23.59
WYNDHAM AERO,02/02/2023,6.8,3.6, ,35.6,25.6,94,42,3.09,26.16
WYNDHAM AERO,03/02/2023,7.2,0.0, ,37.5,26.8,92,37,2.67,27.52
WYNDHAM AERO,04/02/2023,8.2,0.0, ,36.9,25.4,80,33,3.80,28.93
WYNDHAM AERO,05/02/2023,4.3,15.6, ,32.6,23.7,95,60,3.07,16.24
WYNDHAM AERO,06/02/2023,7.0,3.6, ,35.2,24.9,94,33,2.46,28.87
WYNDHAM AERO,07/02/2023,6.8,0.0, ,37.6,23.9,90,34,1.64,28.84
WYNDHAM AERO,08/02/2023,8.4,0.0, ,39.3,27.3,82,31,3.54,28.69
WYNDHAM AERO,09/02/2023,7.3,0.0, ,36.3,28.7,78,48,4.58,23.80
WYNDHAM AERO,10/02/2023,7.1,0.0, ,38.2,27.3,91,38,2.81,25.89
WYNDHAM AERO,11/02/2023,5.3,6.0, ,34.8,24.6,90,52,3.55,17.84
WYNDHAM AERO,12/02/2023,5.0,13.4, ,33.2,24.2,96,59,3.81,19.34
WYNDHAM AERO,13/02/2023,6.0,9.8, ,35.0,24.1,96,51,1.81,26.28
WYNDHAM AERO,14/02/2023,6.8,0.0, ,37.0,25.7,97,43,1.96,28.57
WYNDHAM AERO,15/02/2023,6.9,0.0, ,38.0,26.3,93,35,1.82,28.52
WYNDHAM AERO,16/02/2023,7.6,0.0, ,39.5,26.5,90,26,2.66,27.06
WYNDHAM AERO,17/02/2023,7.7,0.0, ,39.9,27.3,94,32,2.66,28.29
WYNDHAM AERO,18/02/2023,7.7,0.0, ,39.9,27.4,96,31,3.26,25.70
WYNDHAM AERO,19/02/2023,5.8,0.0, ,37.3,27.8,94,47,2.79,20.13
WYNDHAM AERO,20/02/2023,4.7,17.2, ,32.6,24.7,95,66,3.17,19.59
WYNDHAM AERO,21/02/2023,5.3,1.0, ,33.7,25.6,95,58,2.58,22.09
WYNDHAM AERO,22/02/2023,4.7,71.0, ,32.0,24.3,97,65,2.88,20.49
WYNDHAM AERO,23/02/2023,4.8,12.6, ,31.5,24.7,97,65,2.83,21.18
WYNDHAM AERO,24/02/2023,3.7,16.2, ,31.4,25.2,96,65,3.43,13.08
WYNDHAM AERO,25/02/2023,3.9,12.6, ,31.3,25.2,97,75,2.88,17.08
WYNDHAM AERO,26/02/2023,3.6,15.4, ,31.0,24.0,96,76,3.84,14.87
WYNDHAM AERO,27/02/2023,5.6,18.0, ,33.6,24.7,96,61,3.74,23.04
WYNDHAM AERO,28/02/2023,3.2,0.4, ,30.2,25.4,97,71,5.40,10.44
Totals:,,167.6,218, ,,,,,, 
