'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WYNDHAM AERO Western Australia for April 2023,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WYNDHAM AERO,01/04/2023,6.7,0.0, ,38.7,25.9,73,35,2.54,24.49
WYNDHAM AERO,02/04/2023,6.3,0.0, ,38.6,26.8,76,37,2.28,23.33
WYNDHAM AERO,03/04/2023,3.4,34.2, ,31.6,22.2,96,66,2.80,13.21
WYNDHAM AERO,04/04/2023,5.5,0.8, ,36.0,24.1,96,47,1.62,24.13
WYNDHAM AERO,05/04/2023,5.0,5.4, ,33.6,23.9,91,52,2.76,19.91
WYNDHAM AERO,06/04/2023,5.0,0.2, ,36.0,26.0,92,46,1.68,20.24
WYNDHAM AERO,07/04/2023,5.2,0.0, ,36.1,25.7,90,43,1.70,21.59
WYNDHAM AERO,08/04/2023,5.1,0.0, ,36.8,27.3,87,46,2.23,18.40
WYNDHAM AERO,09/04/2023,5.5,0.0, ,34.8,26.3,95,49,4.58,17.74
WYNDHAM AERO,10/04/2023,2.8,5.0, ,30.1,24.9,96,71,3.31,10.23
WYNDHAM AERO,11/04/2023,1.2,8.4, ,27.6,24.7,97,89,2.45,3.78
WYNDHAM AERO,12/04/2023,4.2,17.4, ,32.8,25.0,97,64,3.25,16.64
WYNDHAM AERO,13/04/2023,5.8,2.0, ,34.3,26.5,94,52,4.08,21.87
WYNDHAM AERO,14/04/2023,4.7,0.0, ,33.8,24.5,92,58,2.84,19.02
WYNDHAM AERO,15/04/2023,5.9,0.0, ,35.9,25.9,93,47,3.30,22.16
WYNDHAM AERO,16/04/2023,5.8,0.0, ,32.9,25.6,95,48,3.95,22.88
WYNDHAM AERO,17/04/2023,6.1,0.0, ,31.0,20.7,84,33,4.11,23.08
WYNDHAM AERO,18/04/2023,5.9,0.0, ,31.7,16.7,84,25,3.23,22.92
WYNDHAM AERO,19/04/2023, ,0.0, , ,15.8,88,28,2.94,22.78
WYNDHAM AERO,20/04/2023, , , ,32.1, ,79,33,4.50,22.54
WYNDHAM AERO,21/04/2023,7.2,0.0, ,33.2,23.2,64,31,5.31,19.97
WYNDHAM AERO,22/04/2023,6.6,0.0, ,34.9,25.6,71,32,4.15,19.43
WYNDHAM AERO,23/04/2023,7.4,0.0, ,35.3,21.5,73,25,4.61,22.27
WYNDHAM AERO,24/04/2023,6.1,0.0, ,35.3,18.8,76,28,2.98,22.15
WYNDHAM AERO,25/04/2023,5.9,0.0, ,36.6,20.9,82,31,2.59,22.04
WYNDHAM AERO,26/04/2023,5.5,0.0, ,37.1,23.0,82,37,2.14,21.59
WYNDHAM AERO,27/04/2023,5.8,0.0, ,37.7,23.8,93,36,2.62,21.60
WYNDHAM AERO,28/04/2023,5.6,0.0, ,37.7,24.5,84,29,2.18,21.29
WYNDHAM AERO,29/04/2023,5.9,0.0, ,37.1,22.8,85,27,2.69,21.02
WYNDHAM AERO,30/04/2023,5.9,0.0, ,34.2,21.7,76,38,3.43,21.41
Totals:,,152,73.4, ,,,,,, 
