'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WYNDHAM AERO Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WYNDHAM AERO,01/10/2023,8.1,0.0, ,38.5,23.3,72,29,3.73,26.65
WYNDHAM AERO,02/10/2023,8.4,0.0, ,39.8,25.7,69,26,3.58,26.67
WYNDHAM AERO,03/10/2023,8.3,0.0, ,40.5,27.2,66,25,3.84,22.70
WYNDHAM AERO,04/10/2023,8.3,0.0, ,39.7,27.8,77,26,3.77,25.75
WYNDHAM AERO,05/10/2023,8.2,0.0, ,37.8,25.1,87,28,4.79,24.68
WYNDHAM AERO,06/10/2023,8.3,0.0, ,39.1,25.5,84,22,3.90,25.88
WYNDHAM AERO,07/10/2023,8.4,0.0, ,38.4,22.3,63,12,3.38,27.18
WYNDHAM AERO,08/10/2023,8.9,0.0, ,38.4,23.1,48,10,3.61,27.27
WYNDHAM AERO,09/10/2023,8.3,0.0, ,39.2,18.7,69,10,3.08,27.28
WYNDHAM AERO,10/10/2023,9.1,0.0, ,40.4,20.7,74,15,3.96,26.82
WYNDHAM AERO,11/10/2023,9.1,0.0, ,40.5,22.9,82,21,4.35,26.34
WYNDHAM AERO,12/10/2023,8.2,0.0, ,40.6,27.8,64,23,3.34,24.08
WYNDHAM AERO,13/10/2023,8.5,0.0, ,41.0,27.4,62,22,3.65,23.92
WYNDHAM AERO,14/10/2023,9.9,0.0, ,41.6,23.4,73,12,4.26,27.34
WYNDHAM AERO,15/10/2023,9.5,0.0, ,41.9,21.0,77,8,3.73,27.47
WYNDHAM AERO,16/10/2023,8.5,0.0, ,40.6,20.5,55,6,2.90,27.66
WYNDHAM AERO,17/10/2023,9.5,0.0, ,40.8,17.7,44,9,3.63,27.54
WYNDHAM AERO,18/10/2023,8.7,0.0, ,40.1,21.4,48,9,3.11,27.77
WYNDHAM AERO,19/10/2023,8.5,0.0, ,40.9,20.1,47,7,2.79,27.87
WYNDHAM AERO,20/10/2023,8.5,0.0, ,40.9,19.3,81,8,2.97,27.98
WYNDHAM AERO,21/10/2023,7.7,0.0, ,39.2,21.7,89,16,2.62,28.03
WYNDHAM AERO,22/10/2023,8.4,0.0, ,39.4,23.8,90,25,3.67,27.97
WYNDHAM AERO,23/10/2023,8.8,0.0, ,40.6,24.7,79,19,3.55,28.07
WYNDHAM AERO,24/10/2023,8.9,0.0, ,40.8,24.8,88,25,3.91,28.13
WYNDHAM AERO,25/10/2023,8.9,0.0, ,41.8,25.5,83,20,3.49,27.87
WYNDHAM AERO,26/10/2023,9.4,0.0, ,40.4,26.8,80,19,4.22,28.09
WYNDHAM AERO,27/10/2023,9.2,0.0, ,39.6,25.0,88,11,3.96,28.12
WYNDHAM AERO,28/10/2023,9.4,0.0, ,41.3,21.3,49,7,3.37,28.17
WYNDHAM AERO,29/10/2023,9.0,0.0, ,41.5,20.0,74,11,3.27,28.16
WYNDHAM AERO,30/10/2023,8.3,0.0, ,38.9,23.1,79,22,3.31,28.31
WYNDHAM AERO,31/10/2023,8.9,0.0, ,40.2,27.0,74,26,3.85,28.02
Totals:,,270.1,0, ,,,,,, 
