'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMPI SOUND (DEFENCE) Western Australia for February 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 March 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMPI SOUND (DEFENCE),01/02/2023,5.8,29.8, ,34.7,22.9,99,55,1.06,27.16
YAMPI SOUND (DEFENCE),02/02/2023,5.3,0.0, ,34.9,25.4,99,52,1.23,22.93
YAMPI SOUND (DEFENCE),03/02/2023,6.2,0.0, ,35.1,24.0,99,48,1.24,28.54
YAMPI SOUND (DEFENCE),04/02/2023, ,0.2, , ,24.0,99,45,1.04,28.73
YAMPI SOUND (DEFENCE),05/02/2023, ,0.0, ,37.1, ,100,36,0.98,27.34
YAMPI SOUND (DEFENCE),06/02/2023,6.3,17.0, ,35.9,23.3,99,39,1.42,28.38
YAMPI SOUND (DEFENCE),07/02/2023,5.6,0.2, ,35.9,25.4,99,49,0.65,25.59
YAMPI SOUND (DEFENCE),08/02/2023,5.4,0.0, ,35.1,25.3,99,47,1.18,23.69
YAMPI SOUND (DEFENCE),09/02/2023,6.3,0.0, ,35.8,25.9,99,47,1.60,27.47
YAMPI SOUND (DEFENCE),10/02/2023, ,0.0, , ,27.3,96,52,2.87,27.34
YAMPI SOUND (DEFENCE),11/02/2023,6.5,12.0, ,36.2,20.4,100,42,1.89,28.61
YAMPI SOUND (DEFENCE),12/02/2023,5.5,11.4, ,35.8,23.9,97,46,0.99,24.94
YAMPI SOUND (DEFENCE),13/02/2023,4.5,0.0, ,36.4,26.1,96,52,0.86,18.95
YAMPI SOUND (DEFENCE),14/02/2023,5.6,0.4, ,36.5,25.2,99,48,1.65,23.38
YAMPI SOUND (DEFENCE),15/02/2023,6.2,14.2, ,37.8,22.9,99,44,1.46,26.67
YAMPI SOUND (DEFENCE),16/02/2023,6.2,16.2, ,37.0,23.6,98,38,1.20,27.78
YAMPI SOUND (DEFENCE),17/02/2023,6.3,0.2, ,36.5,25.3,96,44,1.34,27.82
YAMPI SOUND (DEFENCE),18/02/2023,5.8,0.0, ,35.5,26.1,93,51,2.02,23.84
YAMPI SOUND (DEFENCE),19/02/2023,5.1,0.0, ,36.1,27.1,97,56,1.32,21.47
YAMPI SOUND (DEFENCE),20/02/2023,2.0,23.2, ,29.1,22.8,99,72,1.09,7.62
YAMPI SOUND (DEFENCE),21/02/2023,4.4,38.8, ,32.8,22.9,99,65,1.06,20.46
YAMPI SOUND (DEFENCE),22/02/2023,4.3,4.8, ,33.8,24.9,99,60,1.01,18.83
YAMPI SOUND (DEFENCE),23/02/2023,3.8,22.0, ,32.5,25.0,99,65,0.61,17.17
YAMPI SOUND (DEFENCE),24/02/2023,4.0,64.2, ,32.4,24.0,100,63,0.84,18.48
YAMPI SOUND (DEFENCE),25/02/2023,3.8,36.8, ,33.4,24.8,99,62,0.77,16.96
YAMPI SOUND (DEFENCE),26/02/2023,3.5,8.4, ,33.9,25.6,99,58,0.81,14.71
YAMPI SOUND (DEFENCE),27/02/2023, ,0.0, , ,25.7,100,52,1.64,20.06
YAMPI SOUND (DEFENCE),28/02/2023, ,4.6, , , ,93,66,2.84,17.04
Totals:,,118.4,304.4, ,,,,,, 
