'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YAMPI SOUND (DEFENCE) Western Australia for October 2023,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 November 2023,,,,,,,,,,
© Copyright Commonwealth of Australia 2023 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YAMPI SOUND (DEFENCE),01/10/2023,5.9,0.0, ,37.7,22.7,99,31,1.85,23.28
YAMPI SOUND (DEFENCE),02/10/2023, ,0.0, , ,22.7,99,34,2.11,26.10
YAMPI SOUND (DEFENCE),03/10/2023,6.0, , ,37.6,22.3,100,31,1.58,25.43
YAMPI SOUND (DEFENCE),04/10/2023,7.3,0.0, ,42.3,19.9,100,10,2.07,26.65
YAMPI SOUND (DEFENCE),05/10/2023,6.7,0.0, ,42.1,16.5,71,11,1.62,26.60
YAMPI SOUND (DEFENCE),06/10/2023,6.7,0.0, ,39.4,20.8,89,28,1.90,26.67
YAMPI SOUND (DEFENCE),07/10/2023,6.3,0.0, ,39.4,21.0,91,23,1.46,26.77
YAMPI SOUND (DEFENCE),08/10/2023,6.7,0.0, ,39.5,18.2,67,8,1.79,26.85
YAMPI SOUND (DEFENCE),09/10/2023,6.3,0.0, ,40.3,12.8,72,8,1.46,26.86
YAMPI SOUND (DEFENCE),10/10/2023,6.1,0.0, ,40.6,14.6,90,8,1.23,26.80
YAMPI SOUND (DEFENCE),11/10/2023,6.6,0.0, ,41.6,15.8,94,12,1.49,27.07
YAMPI SOUND (DEFENCE),12/10/2023,6.0,0.0, ,38.6,19.9,100,27,1.42,25.73
YAMPI SOUND (DEFENCE),13/10/2023,6.3,0.0, ,40.2,19.7,94,22,1.33,26.67
YAMPI SOUND (DEFENCE),14/10/2023,6.3,0.0, ,41.8,20.9,95,19,1.48,24.68
YAMPI SOUND (DEFENCE),15/10/2023,6.5,0.0, ,41.5,21.2,98,16,1.46,25.87
YAMPI SOUND (DEFENCE),16/10/2023,6.5,0.0, ,42.4,17.1,99,8,1.29,27.28
YAMPI SOUND (DEFENCE),17/10/2023,6.8,0.0, ,41.1,18.9,100,7,1.59,27.32
YAMPI SOUND (DEFENCE),18/10/2023,6.0,0.0, ,41.2,16.8,94,10,1.05,27.42
YAMPI SOUND (DEFENCE),19/10/2023,6.2,0.0, ,41.3,16.1,85,13,1.11,27.70
YAMPI SOUND (DEFENCE),20/10/2023,6.5,0.0, ,41.6,16.7,91,12,1.33,27.64
YAMPI SOUND (DEFENCE),21/10/2023,6.8,0.0, ,39.1,20.5,99,31,1.94,27.89
YAMPI SOUND (DEFENCE),22/10/2023,6.3,0.0, ,38.5,20.1,100,23,1.35,27.94
YAMPI SOUND (DEFENCE),23/10/2023,6.7,0.0, ,39.8,19.0,100,20,1.57,27.98
YAMPI SOUND (DEFENCE),24/10/2023,6.4,0.0, ,38.6,19.2,100,16,1.42,27.98
YAMPI SOUND (DEFENCE),25/10/2023,6.3,0.0, ,38.2,24.1,95,29,1.46,26.25
YAMPI SOUND (DEFENCE),26/10/2023,7.9,0.0, ,41.5,23.6,98,27,2.70,28.02
YAMPI SOUND (DEFENCE),27/10/2023,6.6,5.2, ,40.4,22.6,98,30,1.29,27.96
YAMPI SOUND (DEFENCE),28/10/2023,6.5,0.2, ,39.8,23.0,100,24,1.18,28.03
YAMPI SOUND (DEFENCE),29/10/2023,6.6,0.0, ,38.7,22.4,100,33,1.58,27.91
YAMPI SOUND (DEFENCE),30/10/2023,6.3,0.0, ,37.9,21.9,98,27,1.20,28.27
YAMPI SOUND (DEFENCE),31/10/2023, ,0.0, , ,21.7,99,30,1.51,28.25
Totals:,,188.1,5.4, ,,,,,, 
